Spoken	Count	Coverage	Cummulative
child	14354	0.0005	0.7736
twenty	14333	0.0005	0.7741
anyway	14290	0.0005	0.7746
fact	14185	0.0005	0.7752
na	14093	0.0005	0.7757
buy	14071	0.0005	0.7762
great	13894	0.0005	0.7767
write	13741	0.0005	0.7772
job	13737	0.0005	0.7776
play	13669	0.0005	0.7781
seem	13643	0.0005	0.7786
night	13475	0.0005	0.7791
man	13463	0.0005	0.7796
read	13455	0.0005	0.7801
away	13379	0.0005	0.7805
pound	13373	0.0005	0.7810
issue	13370	0.0005	0.7815
own	13354	0.0005	0.7820
area	13322	0.0005	0.7825
half	13234	0.0005	0.7829
round	12996	0.0005	0.7834
help	12943	0.0005	0.7839
bad	12894	0.0005	0.7843
ah	12649	0.0005	0.7848
whole	12583	0.0005	0.7852
everything	12569	0.0004	0.7857
minute	12501	0.0004	0.7861
ten	12409	0.0004	0.7866
may	12371	0.0004	0.7870
whether	12316	0.0004	0.7875
student	12307	0.0004	0.7879
wo	12253	0.0004	0.7883
guess	12068	0.0004	0.7888
whatever	11965	0.0004	0.7892
car	11949	0.0004	0.7896
bring	11851	0.0004	0.7900
sit	11818	0.0004	0.7905
eight	11608	0.0004	0.7909
name	11579	0.0004	0.7913
gon	11497	0.0004	0.7917
book	11487	0.0004	0.7921
run	11401	0.0004	0.7925
morning	11397	0.0004	0.7929
suppose	11387	0.0004	0.7933
show	11380	0.0004	0.7937
must	11352	0.0004	0.7942
month	11248	0.0004	0.7946
both	11222	0.0004	0.7950
word	11208	0.0004	0.7954
idea	11206	0.0004	0.7958
pretty	11185	0.0004	0.7962
somebody	11135	0.0004	0.7966
able	10964	0.0004	0.7970
item	10842	0.0004	0.7973
hour	10823	0.0004	0.7977
enough	10720	0.0004	0.7981
ever	10698	0.0004	0.7985
side	10667	0.0004	0.7989
important	10622	0.0004	0.7993
seven	10596	0.0004	0.7996
between	10546	0.0004	0.8000
turn	10523	0.0004	0.8004
thousand	10500	0.0004	0.8008
few	10469	0.0004	0.8011
f	10468	0.0004	0.8015
term	10448	0.0004	0.8019
life	10387	0.0004	0.8023
believe	10302	0.0004	0.8026
sorry	10174	0.0004	0.8030
far	10115	0.0004	0.8034
nothing	10096	0.0004	0.8037
case	9895	0.0004	0.8041
nine	9886	0.0004	0.8044
thirty	9879	0.0004	0.8048
real	9877	0.0004	0.8051
mind	9781	0.0004	0.8055
woman	9729	0.0003	0.8058
set	9690	0.0003	0.8062
second	9690	0.0003	0.8065
guy	9675	0.0003	0.8069
each	9661	0.0003	0.8072
meeting	9564	0.0003	0.8076
couple	9425	0.0003	0.8079
together	9235	0.0003	0.8082
group	9215	0.0003	0.8086
hard	9186	0.0003	0.8089
friend	9183	0.0003	0.8092
love	9159	0.0003	0.8095
understand	9153	0.0003	0.8099
family	9125	0.0003	0.8102
high	9109	0.0003	0.8105
country	9040	0.0003	0.8108
speak	9030	0.0003	0.8112
send	9002	0.0003	0.8115
watch	8985	0.0003	0.8118
fifty	8969	0.0003	0.8121
obviously	8931	0.0003	0.8125
yet	8910	0.0003	0.8128
either	8841	0.0003	0.8131
already	8825	0.0003	0.8134
person	8813	0.0003	0.8137
wait	8753	0.0003	0.8140
once	8747	0.0003	0.8143
walk	8668	0.0003	0.8147
stop	8597	0.0003	0.8150
hand	8582	0.0003	0.8153
alright	8530	0.0003	0.8156
deal	8527	0.0003	0.8159
example	8518	0.0003	0.8162
cause	8480	0.0003	0.8165
information	8434	0.0003	0.8168
exactly	8366	0.0003	0.8171
ago	8351	0.0003	0.8174
reason	8302	0.0003	0.8177
room	8249	0.0003	0.8180
em	8240	0.0003	0.8183
open	8188	0.0003	0.8186
please	8168	0.0003	0.8189
report	8166	0.0003	0.8192
answer	8153	0.0003	0.8195
rather	8089	0.0003	0.8197
certainly	8083	0.0003	0.8200
breath	8066	0.0003	0.8203
stay	8039	0.0003	0.8206
while	8010	0.0003	0.8209
everybody	8001	0.0003	0.8212
meet	7975	0.0003	0.8215
perhaps	7937	0.0003	0.8217
type	7875	0.0003	0.8220
pick	7863	0.0003	0.8223
eat	7815	0.0003	0.8226
plan	7813	0.0003	0.8229
matter	7807	0.0003	0.8232
such	7802	0.0003	0.8234
care	7785	0.0003	0.8237
mm	7744	0.0003	0.8240
hope	7741	0.0003	0.8243
level	7734	0.0003	0.8245
small	7673	0.0003	0.8248
spend	7585	0.0003	0.8251
phone	7551	0.0003	0.8254
least	7546	0.0003	0.8256
line	7541	0.0003	0.8259
clear	7541	0.0003	0.8262
someone	7529	0.0003	0.8264
under	7522	0.0003	0.8267
until	7448	0.0003	0.8270
system	7410	0.0003	0.8272
sometimes	7363	0.0003	0.8275
state	7360	0.0003	0.8278
cost	7347	0.0003	0.8280
paper	7343	0.0003	0.8283
since	7326	0.0003	0.8286
top	7325	0.0003	0.8288
true	7276	0.0003	0.8291
order	7224	0.0003	0.8293
government	7198	0.0003	0.8296
sound	7156	0.0003	0.8298
tomorrow	7131	0.0003	0.8301
its	7128	0.0003	0.8304
wrong	7083	0.0003	0.8306
service	7055	0.0003	0.8309
anon	6986	0.0003	0.8311
lose	6972	0.0002	0.8314
water	6914	0.0002	0.8316
parent	6875	0.0002	0.8319
concern	6839	0.0002	0.8321
agree	6811	0.0002	0.8323
easy	6780	0.0002	0.8326
interesting	6773	0.0002	0.8328
business	6733	0.0002	0.8331
close	6721	0.0002	0.8333
within	6705	0.0002	0.8336
door	6703	0.0002	0.8338
sense	6694	0.0002	0.8340
basically	6617	0.0002	0.8343
break	6576	0.0002	0.8345
moment	6551	0.0002	0.8347
girl	6532	0.0002	0.8350
past	6467	0.0002	0.8352
cut	6467	0.0002	0.8354
without	6441	0.0002	0.8357
hold	6435	0.0002	0.8359
young	6406	0.0002	0.8361
anybody	6406	0.0002	0.8364
teacher	6355	0.0002	0.8366
become	6340	0.0002	0.8368
member	6334	0.0002	0.8370
drive	6289	0.0002	0.8373
class	6288	0.0002	0.8375
company	6254	0.0002	0.8377
forty	6251	0.0002	0.8379
fine	6225	0.0002	0.8382
support	6214	0.0002	0.8384
world	6213	0.0002	0.8386
process	6186	0.0002	0.8388
learn	6161	0.0002	0.8390
decide	6124	0.0002	0.8393
view	6106	0.0002	0.8395
expect	6102	0.0002	0.8397
particular	6099	0.0002	0.8399
head	6094	0.0002	0.8401
stand	6090	0.0002	0.8404
build	6081	0.0002	0.8406
percent	6030	0.0002	0.8408
situation	5986	0.0002	0.8410
along	5904	0.0002	0.8412
full	5888	0.0002	0.8414
finish	5883	0.0002	0.8416
involve	5878	0.0002	0.8418
form	5878	0.0002	0.8421
nineteen	5794	0.0002	0.8423
certain	5793	0.0002	0.8425
local	5785	0.0002	0.8427
figure	5756	0.0002	0.8429
th	5736	0.0002	0.8431
boy	5714	0.0002	0.8433
wonder	5709	0.0002	0.8435
usually	5709	0.0002	0.8437
check	5703	0.0002	0.8439
public	5694	0.0002	0.8441
less	5688	0.0002	0.8443
later	5669	0.0002	0.8445
yesterday	5622	0.0002	0.8447
funny	5622	0.0002	0.8449
road	5617	0.0002	0.8451
sell	5595	0.0002	0.8453
discussion	5590	0.0002	0.8455
front	5554	0.0002	0.8457
ring	5544	0.0002	0.8459
across	5504	0.0002	0.8461
absolutely	5502	0.0002	0.8463
policy	5462	0.0002	0.8465
short	5456	0.0002	0.8467
difficult	5454	0.0002	0.8469
worry	5432	0.0002	0.8471
piece	5401	0.0002	0.8473
o	5393	0.0002	0.8475
comment	5388	0.0002	0.8477
provide	5360	0.0002	0.8479
early	5339	0.0002	0.8481
mother	5304	0.0002	0.8482
almost	5294	0.0002	0.8484
difference	5286	0.0002	0.8486
cover	5273	0.0002	0.8488
against	5257	0.0002	0.8490
forget	5244	0.0002	0.8492
page	5242	0.0002	0.8494
mine	5238	0.0002	0.8496
ninety	5235	0.0002	0.8498
twelve	5201	0.0002	0.8499
happy	5186	0.0002	0.8501
list	5161	0.0002	0.8503
myself	5141	0.0002	0.8505
dollar	5139	0.0002	0.8507
cough	5095	0.0002	0.8509
mum	5093	0.0002	0.8510
allow	5066	0.0002	0.8512
interest	5035	0.0002	0.8514
mhm	5034	0.0002	0.8516
wear	5026	0.0002	0.8518
light	5026	0.0002	0.8519
tape	5024	0.0002	0.8521
clock	5011	0.0002	0.8523
reading	4985	0.0002	0.8525
decision	4955	0.0002	0.8527
mention	4942	0.0002	0.8528
late	4917	0.0002	0.8530
listen	4912	0.0002	0.8532
somewhere	4911	0.0002	0.8534
experience	4887	0.0002	0.8535
bloody	4885	0.0002	0.8537
dad	4883	0.0002	0.8539
eighty	4874	0.0002	0.8541
outside	4869	0.0002	0.8542
age	4857	0.0002	0.8544
follow	4851	0.0002	0.8546
during	4836	0.0002	0.8548
letter	4835	0.0002	0.8549
forward	4829	0.0002	0.8551
language	4821	0.0002	0.8553
card	4811	0.0002	0.8554
large	4801	0.0002	0.8556
yourself	4761	0.0002	0.8558
picture	4745	0.0002	0.8560
table	4744	0.0002	0.8561
enjoy	4742	0.0002	0.8563
base	4741	0.0002	0.8565
party	4719	0.0002	0.8566
shop	4715	0.0002	0.8568
stick	4711	0.0002	0.8570
often	4704	0.0002	0.8571
sixty	4687	0.0002	0.8573
pass	4673	0.0002	0.8575
fall	4670	0.0002	0.8576
general	4652	0.0002	0.8578
response	4630	0.0002	0.8580
add	4625	0.0002	0.8581
carry	4614	0.0002	0.8583
grow	4599	0.0002	0.8585
include	4508	0.0002	0.8586
price	4497	0.0002	0.8588
continue	4448	0.0002	0.8590
position	4436	0.0002	0.8591
bed	4434	0.0002	0.8593
office	4425	0.0002	0.8594
possible	4420	0.0002	0.8596
suggest	4410	0.0002	0.8597
face	4349	0.0002	0.8599
although	4333	0.0002	0.8601
dog	4325	0.0002	0.8602
present	4315	0.0002	0.8604
amount	4311	0.0002	0.8605
drink	4298	0.0002	0.8607
program	4294	0.0002	0.8608
sign	4226	0.0002	0.8610
game	4201	0.0002	0.8611
lovely	4196	0.0002	0.8613
fuck	4191	0.0002	0.8614
ready	4179	0.0001	0.8616
food	4176	0.0001	0.8617
choice	4174	0.0001	0.8619
die	4171	0.0001	0.8620
health	4163	0.0001	0.8622
record	4158	0.0001	0.8623
community	4153	0.0001	0.8625
address	4127	0.0001	0.8626
town	4123	0.0001	0.8628
story	4095	0.0001	0.8629
fifteen	4086	0.0001	0.8631
discuss	4056	0.0001	0.8632
foot	4050	0.0001	0.8634
committee	4047	0.0001	0.8635
dear	4031	0.0001	0.8636
pull	4028	0.0001	0.8638
miss	4028	0.0001	0.8639
consider	4025	0.0001	0.8641
soon	4018	0.0001	0.8642
raise	4011	0.0001	0.8644
rest	4008	0.0001	0.8645
increase	4003	0.0001	0.8647
win	4001	0.0001	0.8648
nobody	3988	0.0001	0.8649
computer	3980	0.0001	0.8651
fun	3968	0.0001	0.8652
particularly	3961	0.0001	0.8654
depend	3958	0.0001	0.8655
study	3955	0.0001	0.8656
begin	3954	0.0001	0.8658
tonight	3953	0.0001	0.8659
box	3953	0.0001	0.8661
everyone	3951	0.0001	0.8662
afternoon	3946	0.0001	0.8664
notice	3933	0.0001	0.8665
teach	3928	0.0001	0.8666
interested	3928	0.0001	0.8668
low	3924	0.0001	0.8669
baby	3899	0.0001	0.8671
chance	3896	0.0001	0.8672
standard	3894	0.0001	0.8673
especially	3893	0.0001	0.8675
middle	3877	0.0001	0.8676
budget	3869	0.0001	0.8678
till	3861	0.0001	0.8679
million	3852	0.0001	0.8680
press	3839	0.0001	0.8682
city	3832	0.0001	0.8683
seventy	3820	0.0001	0.8684
score	3816	0.0001	0.8686
third	3791	0.0001	0.8687
weekend	3788	0.0001	0.8688
draw	3785	0.0001	0.8690
result	3779	0.0001	0.8691
black	3772	0.0001	0.8693
lead	3751	0.0001	0.8694
definitely	3744	0.0001	0.8695
conversation	3739	0.0001	0.8697
further	3707	0.0001	0.8698
straight	3700	0.0001	0.8699
free	3696	0.0001	0.8701
shall	3688	0.0001	0.8702
ta	3676	0.0001	0.8703
college	3665	0.0001	0.8704
control	3664	0.0001	0.8706
opportunity	3659	0.0001	0.8707
market	3653	0.0001	0.8708
develop	3651	0.0001	0.8710
staff	3644	0.0001	0.8711
date	3634	0.0001	0.8712
per	3624	0.0001	0.8714
grade	3624	0.0001	0.8715
ought	3621	0.0001	0.8716
war	3619	0.0001	0.8717
near	3617	0.0001	0.8719
major	3598	0.0001	0.8720
individual	3590	0.0001	0.8721
charge	3590	0.0001	0.8723
throw	3586	0.0001	0.8724
music	3571	0.0001	0.8725
husband	3539	0.0001	0.8726
doctor	3532	0.0001	0.8728
force	3525	0.0001	0.8729
offer	3517	0.0001	0.8730
effect	3514	0.0001	0.8732
wish	3501	0.0001	0.8733
team	3499	0.0001	0.8734
worth	3494	0.0001	0.8735
law	3484	0.0001	0.8737
unless	3457	0.0001	0.8738
future	3453	0.0001	0.8739
behind	3446	0.0001	0.8740
white	3436	0.0001	0.8741
site	3436	0.0001	0.8743
special	3434	0.0001	0.8744
main	3433	0.0001	0.8745
load	3433	0.0001	0.8746
father	3408	0.0001	0.8748
quality	3404	0.0001	0.8749
train	3400	0.0001	0.8750
project	3390	0.0001	0.8751
save	3373	0.0001	0.8752
available	3373	0.0001	0.8754
themselves	3371	0.0001	0.8755
hit	3371	0.0001	0.8756
fair	3368	0.0001	0.8757
news	3365	0.0001	0.8758
bottom	3360	0.0001	0.8760
note	3357	0.0001	0.8761
trouble	3353	0.0001	0.8762
subject	3351	0.0001	0.8763
step	3347	0.0001	0.8764
strong	3341	0.0001	0.8766
wife	3335	0.0001	0.8767
machine	3331	0.0001	0.8768
rate	3320	0.0001	0.8769
period	3318	0.0001	0.8770
bother	3316	0.0001	0.8772
cool	3315	0.0001	0.8773
fit	3314	0.0001	0.8774
development	3312	0.0001	0.8775
power	3306	0.0001	0.8776
drop	3302	0.0001	0.8778
tax	3301	0.0001	0.8779
benefit	3288	0.0001	0.8780
imagine	3281	0.0001	0.8781
cold	3281	0.0001	0.8782
education	3260	0.0001	0.8783
anyone	3254	0.0001	0.8785
national	3247	0.0001	0.8786
council	3236	0.0001	0.8787
instead	3230	0.0001	0.8788
sleep	3225	0.0001	0.8789
share	3224	0.0001	0.8790
eleven	3212	0.0001	0.8792
bear	3209	0.0001	0.8793
tend	3204	0.0001	0.8794
statement	3192	0.0001	0.8795
catch	3185	0.0001	0.8796
fire	3184	0.0001	0.8797
bill	3184	0.0001	0.8798
board	3181	0.0001	0.8800
hang	3174	0.0001	0.8801
summer	3171	0.0001	0.8802
brother	3162	0.0001	0.8803
text	3154	0.0001	0.8804
fairly	3150	0.0001	0.8805
holiday	3143	0.0001	0.8806
dinner	3141	0.0001	0.8807
sister	3127	0.0001	0.8809
noise	3124	0.0001	0.8810
land	3123	0.0001	0.8811
bye	3118	0.0001	0.8812
clean	3114	0.0001	0.8813
push	3112	0.0001	0.8814
police	3108	0.0001	0.8815
explain	3089	0.0001	0.8816
travel	3082	0.0001	0.8817
movie	3076	0.0001	0.8819
accept	3073	0.0001	0.8820
building	3071	0.0001	0.8821
specific	3055	0.0001	0.8822
hate	3050	0.0001	0.8823
tea	3044	0.0001	0.8824
degree	3035	0.0001	0.8825
research	3024	0.0001	0.8826
body	3023	0.0001	0.8827
vote	3022	0.0001	0.8828
produce	3007	0.0001	0.8829
ahead	3007	0.0001	0.8831
size	3003	0.0001	0.8832
choose	3003	0.0001	0.8833
kill	3000	0.0001	0.8834
extra	2980	0.0001	0.8835
value	2976	0.0001	0.8836
bag	2971	0.0001	0.8837
eye	2967	0.0001	0.8838
window	2959	0.0001	0.8839
hot	2957	0.0001	0.8840
hair	2957	0.0001	0.8841
document	2950	0.0001	0.8842
several	2948	0.0001	0.8843
itself	2948	0.0001	0.8844
evening	2948	0.0001	0.8845
stage	2946	0.0001	0.8846
product	2945	0.0001	0.8848
wonderful	2935	0.0001	0.8849
calculator	2934	0.0001	0.8850
account	2932	0.0001	0.8851
relationship	2930	0.0001	0.8852
plus	2912	0.0001	0.8853
hospital	2912	0.0001	0.8854
rule	2896	0.0001	0.8855
lady	2889	0.0001	0.8856
fill	2886	0.0001	0.8857
floor	2885	0.0001	0.8858
mile	2878	0.0001	0.8859
aware	2876	0.0001	0.8860
realize	2869	0.0001	0.8861
contact	2863	0.0001	0.8862
single	2860	0.0001	0.8863
training	2830	0.0001	0.8864
towards	2828	0.0001	0.8865
aye	2821	0.0001	0.8866
copy	2815	0.0001	0.8867
effort	2810	0.0001	0.8868
review	2809	0.0001	0.8869
totally	2802	0.0001	0.8870
therefore	2788	0.0001	0.8871
detail	2782	0.0001	0.8872
church	2777	0.0001	0.8873
visit	2776	0.0001	0.8874
hell	2767	0.0001	0.8875
awful	2766	0.0001	0.8876
action	2754	0.0001	0.8877
air	2752	0.0001	0.8878
ai	2752	0.0001	0.8879
completely	2750	0.0001	0.8880
cheap	2745	0.0001	0.8881
street	2734	0.0001	0.8882
sale	2726	0.0001	0.8883
red	2726	0.0001	0.8884
receive	2724	0.0001	0.8885
apply	2707	0.0001	0.8886
wanna	2703	0.0001	0.8887
gotta	2701	0.0001	0.8888
various	2700	0.0001	0.8889
affect	2700	0.0001	0.8890
require	2698	0.0001	0.8891
focus	2697	0.0001	0.8892
correct	2695	0.0001	0.8893
quick	2690	0.0001	0.8894
purpose	2686	0.0001	0.8895
normally	2686	0.0001	0.8896
relate	2682	0.0001	0.8896
create	2682	0.0001	0.8897
bus	2682	0.0001	0.8898
bet	2679	0.0001	0.8899
clearly	2665	0.0001	0.8900
ground	2653	0.0001	0.8901
indeed	2647	0.0001	0.8902
actual	2632	0.0001	0.8903
section	2625	0.0001	0.8904
design	2622	0.0001	0.8905
flat	2618	0.0001	0.8906
touch	2613	0.0001	0.8907
simply	2612	0.0001	0.8908
agreement	2600	0.0001	0.8909
space	2599	0.0001	0.8910
department	2597	0.0001	0.8911
inside	2594	0.0001	0.8912
quarter	2584	0.0001	0.8912
material	2579	0.0001	0.8913
credit	2578	0.0001	0.8914
chair	2577	0.0001	0.8915
key	2568	0.0001	0.8916
event	2566	0.0001	0.8917
earlier	2561	0.0001	0.8918
prepare	2557	0.0001	0.8919
social	2551	0.0001	0.8920
wall	2547	0.0001	0.8921
lunch	2546	0.0001	0.8922
structure	2538	0.0001	0.8923
son	2538	0.0001	0.8923
measure	2533	0.0001	0.8924
district	2532	0.0001	0.8925
manage	2530	0.0001	0.8926
trade	2518	0.0001	0.8927
tree	2516	0.0001	0.8928
approach	2514	0.0001	0.8929
message	2513	0.0001	0.8930
drug	2499	0.0001	0.8931
personal	2498	0.0001	0.8932
programme	2495	0.0001	0.8932
field	2491	0.0001	0.8933
political	2486	0.0001	0.8934
singing	2479	0.0001	0.8935
film	2474	0.0001	0.8936
cat	2474	0.0001	0.8937
private	2468	0.0001	0.8938
beautiful	2466	0.0001	0.8939
contract	2464	0.0001	0.8940
authority	2455	0.0001	0.8940
expensive	2448	0.0001	0.8941
green	2445	0.0001	0.8942
double	2440	0.0001	0.8943
range	2433	0.0001	0.8944
eighteen	2416	0.0001	0.8945
role	2414	0.0001	0.8946
store	2412	0.0001	0.8947
apparently	2411	0.0001	0.8947
act	2408	0.0001	0.8948
likely	2394	0.0001	0.8949
throat	2391	0.0001	0.8950
normal	2387	0.0001	0.8951
quickly	2385	0.0001	0.8952
trip	2369	0.0001	0.8953
park	2368	0.0001	0.8953
feeling	2352	0.0001	0.8954
daughter	2351	0.0001	0.8955
colour	2342	0.0001	0.8956
basis	2341	0.0001	0.8957
anywhere	2341	0.0001	0.8958
coffee	2340	0.0001	0.8958
thought	2331	0.0001	0.8959
bank	2331	0.0001	0.8960
join	2329	0.0001	0.8961
fight	2328	0.0001	0.8962
return	2327	0.0001	0.8963
otherwise	2323	0.0001	0.8963
wan	2320	0.0001	0.8964
blue	2319	0.0001	0.8965
argument	2312	0.0001	0.8966
assume	2311	0.0001	0.8967
yours	2309	0.0001	0.8968
leg	2308	0.0001	0.8968
birthday	2299	0.0001	0.8969
unit	2293	0.0001	0.8970
university	2289	0.0001	0.8971
simple	2289	0.0001	0.8972
except	2289	0.0001	0.8972
necessarily	2288	0.0001	0.8973
nearly	2288	0.0001	0.8974
beginning	2285	0.0001	0.8975
separate	2284	0.0001	0.8976
basic	2283	0.0001	0.8977
square	2276	0.0001	0.8977
ball	2276	0.0001	0.8978
history	2274	0.0001	0.8979
security	2264	0.0001	0.8980
common	2264	0.0001	0.8981
poor	2260	0.0001	0.8981
respect	2258	0.0001	0.8982
longer	2258	0.0001	0.8983
total	2256	0.0001	0.8984
mark	2251	0.0001	0.8985
onto	2248	0.0001	0.8985
dress	2248	0.0001	0.8986
direction	2247	0.0001	0.8987
fund	2243	0.0001	0.8988
fly	2243	0.0001	0.8989
manager	2237	0.0001	0.8990
ha	2235	0.0001	0.8990
pressure	2231	0.0001	0.8991
glass	2229	0.0001	0.8992
complete	2229	0.0001	0.8993
crime	2223	0.0001	0.8993
similar	2221	0.0001	0.8994
surprise	2220	0.0001	0.8995
mathematics	2209	0.0001	0.8996
marry	2202	0.0001	0.8997
station	2198	0.0001	0.8997
union	2185	0.0001	0.8998
society	2180	0.0001	0.8999
equal	2174	0.0001	0.9000
serious	2167	0.0001	0.9001
lie	2164	0.0001	0.9001
activity	2160	0.0001	0.9002
breathing	2159	0.0001	0.9003
possibly	2156	0.0001	0.9004
