Spoken	Count	Coverage	Cummulative
advertisement	254	0.0000	0.9721
via	253	0.0000	0.9721
remote	253	0.0000	0.9721
proposition	253	0.0000	0.9721
partial	253	0.0000	0.9721
loo	253	0.0000	0.9721
laundry	253	0.0000	0.9721
jack	253	0.0000	0.9721
giggle	253	0.0000	0.9721
enzyme	253	0.0000	0.9721
easier	253	0.0000	0.9721
disadvantage	253	0.0000	0.9722
decrease	253	0.0000	0.9722
ty	252	0.0000	0.9722
operator	252	0.0000	0.9722
mat	252	0.0000	0.9722
hero	252	0.0000	0.9722
genuine	252	0.0000	0.9722
butcher	252	0.0000	0.9722
blast	252	0.0000	0.9722
barely	252	0.0000	0.9722
trace	251	0.0000	0.9722
tease	251	0.0000	0.9723
participant	251	0.0000	0.9723
independence	251	0.0000	0.9723
fiddle	251	0.0000	0.9723
copper	251	0.0000	0.9723
admission	251	0.0000	0.9723
trail	250	0.0000	0.9723
summarize	250	0.0000	0.9723
steward	250	0.0000	0.9723
mud	250	0.0000	0.9723
comedy	250	0.0000	0.9723
civilian	250	0.0000	0.9723
wi	249	0.0000	0.9724
voting	249	0.0000	0.9724
episode	249	0.0000	0.9724
assault	249	0.0000	0.9724
surplus	248	0.0000	0.9724
statutory	248	0.0000	0.9724
skiing	248	0.0000	0.9724
lemon	248	0.0000	0.9724
flavor	248	0.0000	0.9724
constituency	248	0.0000	0.9724
caution	248	0.0000	0.9724
anti	248	0.0000	0.9725
supplier	247	0.0000	0.9725
linear	247	0.0000	0.9725
hectare	247	0.0000	0.9725
equity	247	0.0000	0.9725
blurb	247	0.0000	0.9725
awfully	247	0.0000	0.9725
spider	246	0.0000	0.9725
outer	246	0.0000	0.9725
margin	246	0.0000	0.9725
insert	246	0.0000	0.9725
fluid	246	0.0000	0.9726
differ	246	0.0000	0.9726
comma	246	0.0000	0.9726
cage	246	0.0000	0.9726
burst	246	0.0000	0.9726
advisory	246	0.0000	0.9726
warehouse	245	0.0000	0.9726
wallpaper	245	0.0000	0.9726
useless	245	0.0000	0.9726
tuition	245	0.0000	0.9726
thingy	245	0.0000	0.9726
terminal	245	0.0000	0.9726
rewrite	245	0.0000	0.9727
reveal	245	0.0000	0.9727
grief	245	0.0000	0.9727
grace	245	0.0000	0.9727
goodbye	245	0.0000	0.9727
forum	245	0.0000	0.9727
cube	245	0.0000	0.9727
bizarre	245	0.0000	0.9727
adjustment	245	0.0000	0.9727
weed	244	0.0000	0.9727
slate	244	0.0000	0.9727
melt	244	0.0000	0.9728
magic	244	0.0000	0.9728
interact	244	0.0000	0.9728
hardware	244	0.0000	0.9728
strain	243	0.0000	0.9728
shade	243	0.0000	0.9728
priest	243	0.0000	0.9728
incline	243	0.0000	0.9728
g-	243	0.0000	0.9728
apology	243	0.0000	0.9728
tractor	242	0.0000	0.9728
quiz	242	0.0000	0.9729
pride	242	0.0000	0.9729
lord	242	0.0000	0.9729
firstly	242	0.0000	0.9729
enterprise	242	0.0000	0.9729
dodgy	242	0.0000	0.9729
departure	242	0.0000	0.9729
bob	242	0.0000	0.9729
biology	242	0.0000	0.9729
bargain	242	0.0000	0.9729
tempt	241	0.0000	0.9729
roommate	241	0.0000	0.9729
overhead	241	0.0000	0.9730
marginal	241	0.0000	0.9730
mandatory	241	0.0000	0.9730
frustrate	241	0.0000	0.9730
ego	241	0.0000	0.9730
diversity	241	0.0000	0.9730
transaction	240	0.0000	0.9730
strap	240	0.0000	0.9730
sticker	240	0.0000	0.9730
mild	240	0.0000	0.9730
critic	240	0.0000	0.9730
toss	239	0.0000	0.9730
rib	239	0.0000	0.9731
overcome	239	0.0000	0.9731
mentally	239	0.0000	0.9731
injure	239	0.0000	0.9731
drip	239	0.0000	0.9731
dash	239	0.0000	0.9731
adapt	239	0.0000	0.9731
speculate	238	0.0000	0.9731
significance	238	0.0000	0.9731
segment	238	0.0000	0.9731
rotate	238	0.0000	0.9731
publication	238	0.0000	0.9732
prompt	238	0.0000	0.9732
nephew	238	0.0000	0.9732
monkey	238	0.0000	0.9732
determination	238	0.0000	0.9732
decimal	238	0.0000	0.9732
bust	238	0.0000	0.9732
bow	238	0.0000	0.9732
architecture	238	0.0000	0.9732
abstract	238	0.0000	0.9732
token	237	0.0000	0.9732
ruler	237	0.0000	0.9732
poorly	237	0.0000	0.9733
particle	237	0.0000	0.9733
invent	237	0.0000	0.9733
innocent	237	0.0000	0.9733
consist	237	0.0000	0.9733
trolley	236	0.0000	0.9733
stare	236	0.0000	0.9733
psychology	236	0.0000	0.9733
peaceful	236	0.0000	0.9733
opera	236	0.0000	0.9733
muck	236	0.0000	0.9733
hay	236	0.0000	0.9733
etc.	236	0.0000	0.9734
bat	236	0.0000	0.9734
b-	236	0.0000	0.9734
am	236	0.0000	0.9734
whereby	235	0.0000	0.9734
tab	235	0.0000	0.9734
supplement	235	0.0000	0.9734
stink	235	0.0000	0.9734
sole	235	0.0000	0.9734
slap	235	0.0000	0.9734
sh-	235	0.0000	0.9734
resort	235	0.0000	0.9734
punish	235	0.0000	0.9735
needle	235	0.0000	0.9735
junk	235	0.0000	0.9735
interfere	235	0.0000	0.9735
gravy	235	0.0000	0.9735
gallery	235	0.0000	0.9735
finding	235	0.0000	0.9735
closed	235	0.0000	0.9735
breakdown	235	0.0000	0.9735
aw	235	0.0000	0.9735
unlike	234	0.0000	0.9735
remarkable	234	0.0000	0.9735
lung	234	0.0000	0.9736
lick	234	0.0000	0.9736
ginger	234	0.0000	0.9736
efficiency	234	0.0000	0.9736
drum	234	0.0000	0.9736
defeat	234	0.0000	0.9736
chunk	234	0.0000	0.9736
arithmetic	234	0.0000	0.9736
spill	233	0.0000	0.9736
insure	233	0.0000	0.9736
era	233	0.0000	0.9736
entity	233	0.0000	0.9736
dwelling	233	0.0000	0.9737
depart	233	0.0000	0.9737
confront	233	0.0000	0.9737
wreck	232	0.0000	0.9737
spiritual	232	0.0000	0.9737
financially	232	0.0000	0.9737
fag	232	0.0000	0.9737
edition	232	0.0000	0.9737
desperately	232	0.0000	0.9737
bold	232	0.0000	0.9737
soccer	231	0.0000	0.9737
retail	231	0.0000	0.9737
r-	231	0.0000	0.9738
pronounce	231	0.0000	0.9738
pea	231	0.0000	0.9738
mileage	231	0.0000	0.9738
maths	231	0.0000	0.9738
inquiry	231	0.0000	0.9738
fiver	231	0.0000	0.9738
coke	231	0.0000	0.9738
barn	231	0.0000	0.9738
abortion	231	0.0000	0.9738
thesis	230	0.0000	0.9738
spreadsheet	230	0.0000	0.9738
congress	230	0.0000	0.9739
ceremony	230	0.0000	0.9739
balloon	230	0.0000	0.9739
actively	230	0.0000	0.9739
thus	229	0.0000	0.9739
leap	229	0.0000	0.9739
kidney	229	0.0000	0.9739
festival	229	0.0000	0.9739
bush	229	0.0000	0.9739
alert	229	0.0000	0.9739
straw	228	0.0000	0.9739
snake	228	0.0000	0.9739
satisfaction	228	0.0000	0.9740
peak	228	0.0000	0.9740
machinery	228	0.0000	0.9740
holder	228	0.0000	0.9740
hike	228	0.0000	0.9740
butt	228	0.0000	0.9740
supper	227	0.0000	0.9740
rationale	227	0.0000	0.9740
gum	227	0.0000	0.9740
devote	227	0.0000	0.9740
consent	227	0.0000	0.9740
attendance	227	0.0000	0.9740
used	226	0.0000	0.9741
symptom	226	0.0000	0.9741
informal	226	0.0000	0.9741
defendant	226	0.0000	0.9741
couch	226	0.0000	0.9741
celebration	226	0.0000	0.9741
bombing	226	0.0000	0.9741
supplementary	225	0.0000	0.9741
meantime	225	0.0000	0.9741
disagreement	225	0.0000	0.9741
anytime	225	0.0000	0.9741
weakness	224	0.0000	0.9741
stain	224	0.0000	0.9741
soak	224	0.0000	0.9742
shine	224	0.0000	0.9742
regulate	224	0.0000	0.9742
publisher	224	0.0000	0.9742
ps	224	0.0000	0.9742
occupation	224	0.0000	0.9742
insight	224	0.0000	0.9742
importantly	224	0.0000	0.9742
dominate	224	0.0000	0.9742
custom	224	0.0000	0.9742
complexity	224	0.0000	0.9742
un	223	0.0000	0.9742
shortage	223	0.0000	0.9743
saying	223	0.0000	0.9743
quietly	223	0.0000	0.9743
motorcycle	223	0.0000	0.9743
horn	223	0.0000	0.9743
engagement	223	0.0000	0.9743
yo-	222	0.0000	0.9743
wealthy	222	0.0000	0.9743
lordship	222	0.0000	0.9743
identical	222	0.0000	0.9743
horror	222	0.0000	0.9743
historic	222	0.0000	0.9743
disturb	222	0.0000	0.9743
depression	222	0.0000	0.9744
cooperate	222	0.0000	0.9744
admire	222	0.0000	0.9744
vague	221	0.0000	0.9744
puzzle	221	0.0000	0.9744
p-	221	0.0000	0.9744
necessity	221	0.0000	0.9744
nationally	221	0.0000	0.9744
hopeful	221	0.0000	0.9744
happening	221	0.0000	0.9744
extract	221	0.0000	0.9744
dole	221	0.0000	0.9744
conversion	221	0.0000	0.9745
considerably	221	0.0000	0.9745
cab	221	0.0000	0.9745
bulb	221	0.0000	0.9745
resign	220	0.0000	0.9745
peculiar	220	0.0000	0.9745
journal	220	0.0000	0.9745
grave	220	0.0000	0.9745
generous	220	0.0000	0.9745
fulfill	220	0.0000	0.9745
excited	220	0.0000	0.9745
contrary	220	0.0000	0.9745
specially	219	0.0000	0.9745
salmon	219	0.0000	0.9746
redo	219	0.0000	0.9746
ownership	219	0.0000	0.9746
enjoyable	219	0.0000	0.9746
deputy	219	0.0000	0.9746
urgent	218	0.0000	0.9746
reinforce	218	0.0000	0.9746
occupy	218	0.0000	0.9746
intensive	218	0.0000	0.9746
designer	218	0.0000	0.9746
clerk	218	0.0000	0.9746
attribute	218	0.0000	0.9746
appalling	218	0.0000	0.9746
agriculture	218	0.0000	0.9747
warranty	217	0.0000	0.9747
closet	217	0.0000	0.9747
broadcast	217	0.0000	0.9747
unintelligible	216	0.0000	0.9747
sketch	216	0.0000	0.9747
quarry	216	0.0000	0.9747
nonsense	216	0.0000	0.9747
inclusion	216	0.0000	0.9747
fourteenth	216	0.0000	0.9747
cleaning	216	0.0000	0.9747
architect	216	0.0000	0.9747
stove	215	0.0000	0.9747
socket	215	0.0000	0.9748
shy	215	0.0000	0.9748
satellite	215	0.0000	0.9748
quicker	215	0.0000	0.9748
discourse	215	0.0000	0.9748
discharge	215	0.0000	0.9748
digital	215	0.0000	0.9748
cattle	215	0.0000	0.9748
stranger	214	0.0000	0.9748
pillow	214	0.0000	0.9748
parade	214	0.0000	0.9748
officially	214	0.0000	0.9748
o-	214	0.0000	0.9748
naked	214	0.0000	0.9749
matrix	214	0.0000	0.9749
illustration	214	0.0000	0.9749
hilarious	214	0.0000	0.9749
essence	214	0.0000	0.9749
trump	213	0.0000	0.9749
standardized	213	0.0000	0.9749
satisfactory	213	0.0000	0.9749
printing	213	0.0000	0.9749
petition	213	0.0000	0.9749
notify	213	0.0000	0.9749
ne	213	0.0000	0.9749
narrative	213	0.0000	0.9749
luckily	213	0.0000	0.9750
l-	213	0.0000	0.9750
flush	213	0.0000	0.9750
fairness	213	0.0000	0.9750
eastern	213	0.0000	0.9750
diagnostic	213	0.0000	0.9750
wagon	212	0.0000	0.9750
ringing	212	0.0000	0.9750
pony	212	0.0000	0.9750
origin	212	0.0000	0.9750
keyboard	212	0.0000	0.9750
injection	212	0.0000	0.9750
geography	212	0.0000	0.9750
damp	212	0.0000	0.9751
al	212	0.0000	0.9751
thirtieth	211	0.0000	0.9751
superb	211	0.0000	0.9751
sticky	211	0.0000	0.9751
standpoint	211	0.0000	0.9751
raid	211	0.0000	0.9751
publishing	211	0.0000	0.9751
pee	211	0.0000	0.9751
ninety-five	211	0.0000	0.9751
li	211	0.0000	0.9751
dee	211	0.0000	0.9751
constitute	211	0.0000	0.9751
broke	211	0.0000	0.9752
breach	211	0.0000	0.9752
abandon	211	0.0000	0.9752
virtue	210	0.0000	0.9752
suicide	210	0.0000	0.9752
plaster	210	0.0000	0.9752
offspring	210	0.0000	0.9752
nip	210	0.0000	0.9752
dramatically	210	0.0000	0.9752
dominant	210	0.0000	0.9752
consistently	210	0.0000	0.9752
trim	209	0.0000	0.9752
saw	209	0.0000	0.9752
mount	209	0.0000	0.9752
harvest	209	0.0000	0.9753
exceed	209	0.0000	0.9753
elephant	209	0.0000	0.9753
editorial	209	0.0000	0.9753
cheek	209	0.0000	0.9753
booking	209	0.0000	0.9753
bay	209	0.0000	0.9753
availability	209	0.0000	0.9753
the-	208	0.0000	0.9753
senator	208	0.0000	0.9753
physics	208	0.0000	0.9753
flavour	208	0.0000	0.9753
earning	208	0.0000	0.9753
desirable	208	0.0000	0.9754
creep	208	0.0000	0.9754
unite	207	0.0000	0.9754
survival	207	0.0000	0.9754
dude	207	0.0000	0.9754
divert	207	0.0000	0.9754
burning	207	0.0000	0.9754
atom	207	0.0000	0.9754
armed	207	0.0000	0.9754
tow	206	0.0000	0.9754
sustain	206	0.0000	0.9754
seventeenth	206	0.0000	0.9754
radiator	206	0.0000	0.9754
racial	206	0.0000	0.9755
privately	206	0.0000	0.9755
pleased	206	0.0000	0.9755
optimistic	206	0.0000	0.9755
operational	206	0.0000	0.9755
nest	206	0.0000	0.9755
jog	206	0.0000	0.9755
fabulous	206	0.0000	0.9755
combat	206	0.0000	0.9755
wax	205	0.0000	0.9755
trustee	205	0.0000	0.9755
overview	205	0.0000	0.9755
niece	205	0.0000	0.9755
medication	205	0.0000	0.9755
leisure	205	0.0000	0.9756
infrastructure	205	0.0000	0.9756
frustrating	205	0.0000	0.9756
fraud	205	0.0000	0.9756
fabric	205	0.0000	0.9756
com	205	0.0000	0.9756
candy	205	0.0000	0.9756
brave	205	0.0000	0.9756
angel	205	0.0000	0.9756
relieve	204	0.0000	0.9756
pre-recorded	204	0.0000	0.9756
praise	204	0.0000	0.9756
possession	204	0.0000	0.9756
grind	204	0.0000	0.9756
glory	204	0.0000	0.9757
fuss	204	0.0000	0.9757
flap	204	0.0000	0.9757
boston	204	0.0000	0.9757
veteran	203	0.0000	0.9757
substantive	203	0.0000	0.9757
pathetic	203	0.0000	0.9757
currency	203	0.0000	0.9757
bitter	203	0.0000	0.9757
sympathy	202	0.0000	0.9757
sewing	202	0.0000	0.9757
rose	202	0.0000	0.9757
offence	202	0.0000	0.9757
module	202	0.0000	0.9758
jolly	202	0.0000	0.9758
heater	202	0.0000	0.9758
exposure	202	0.0000	0.9758
workplace	201	0.0000	0.9758
width	201	0.0000	0.9758
tournament	201	0.0000	0.9758
spit	201	0.0000	0.9758
psychological	201	0.0000	0.9758
pornography	201	0.0000	0.9758
oral	201	0.0000	0.9758
nearby	201	0.0000	0.9758
instant	201	0.0000	0.9758
historically	201	0.0000	0.9758
foul	201	0.0000	0.9759
cherry	201	0.0000	0.9759
chamber	201	0.0000	0.9759
bu	201	0.0000	0.9759
website	200	0.0000	0.9759
tragedy	200	0.0000	0.9759
stocking	200	0.0000	0.9759
stability	200	0.0000	0.9759
revision	200	0.0000	0.9759
lo	200	0.0000	0.9759
integrity	200	0.0000	0.9759
informative	200	0.0000	0.9759
constructive	200	0.0000	0.9759
vegetarian	199	0.0000	0.9759
subscribe	199	0.0000	0.9760
sha	199	0.0000	0.9760
sec	199	0.0000	0.9760
prevention	199	0.0000	0.9760
placement	199	0.0000	0.9760
mash	199	0.0000	0.9760
greatly	199	0.0000	0.9760
govern	199	0.0000	0.9760
friendship	199	0.0000	0.9760
declaration	199	0.0000	0.9760
conventional	199	0.0000	0.9760
alteration	199	0.0000	0.9760
taxpayer	198	0.0000	0.9760
subtle	198	0.0000	0.9760
soda	198	0.0000	0.9761
shuttle	198	0.0000	0.9761
lap	198	0.0000	0.9761
grape	198	0.0000	0.9761
cracker	198	0.0000	0.9761
checking	198	0.0000	0.9761
an-	198	0.0000	0.9761
whoop	197	0.0000	0.9761
tenure	197	0.0000	0.9761
modification	197	0.0000	0.9761
lifetime	197	0.0000	0.9761
legislative	197	0.0000	0.9761
ethnic	197	0.0000	0.9761
controversial	197	0.0000	0.9761
articulate	197	0.0000	0.9762
analyse	197	0.0000	0.9762
widely	196	0.0000	0.9762
turnover	196	0.0000	0.9762
specie	196	0.0000	0.9762
scrub	196	0.0000	0.9762
pre	196	0.0000	0.9762
offend	196	0.0000	0.9762
nanny	196	0.0000	0.9762
innit	196	0.0000	0.9762
detect	196	0.0000	0.9762
bacterium	196	0.0000	0.9762
stereo	195	0.0000	0.9762
smooth	195	0.0000	0.9762
sixteenth	195	0.0000	0.9762
landing	195	0.0000	0.9763
interim	195	0.0000	0.9763
indicator	195	0.0000	0.9763
homeless	195	0.0000	0.9763
hedge	195	0.0000	0.9763
headquarters	195	0.0000	0.9763
gray	195	0.0000	0.9763
documentation	195	0.0000	0.9763
chemist	195	0.0000	0.9763
bully	195	0.0000	0.9763
biological	195	0.0000	0.9763
artificial	195	0.0000	0.9763
wa-	194	0.0000	0.9763
visible	194	0.0000	0.9763
verbal	194	0.0000	0.9764
universe	194	0.0000	0.9764
statistical	194	0.0000	0.9764
someplace	194	0.0000	0.9764
momentum	194	0.0000	0.9764
loving	194	0.0000	0.9764
finished	194	0.0000	0.9764
drift	194	0.0000	0.9764
valley	193	0.0000	0.9764
vacuum	193	0.0000	0.9764
underground	193	0.0000	0.9764
teddy	193	0.0000	0.9764
shh	193	0.0000	0.9764
scrape	193	0.0000	0.9764
provider	193	0.0000	0.9765
phenomenon	193	0.0000	0.9765
moderate	193	0.0000	0.9765
cease-fire	193	0.0000	0.9765
broadly	193	0.0000	0.9765
wound	192	0.0000	0.9765
willingness	192	0.0000	0.9765
victory	192	0.0000	0.9765
pigeon	192	0.0000	0.9765
peanut	192	0.0000	0.9765
passive	192	0.0000	0.9765
nowt	192	0.0000	0.9765
horrendous	192	0.0000	0.9765
flour	192	0.0000	0.9765
donation	192	0.0000	0.9765
dialect	192	0.0000	0.9766
aluminum	192	0.0000	0.9766
wrestle	191	0.0000	0.9766
undermine	191	0.0000	0.9766
rap	191	0.0000	0.9766
proficiency	191	0.0000	0.9766
plough	191	0.0000	0.9766
peel	191	0.0000	0.9766
miner	191	0.0000	0.9766
making	191	0.0000	0.9766
leaf	191	0.0000	0.9766
le	191	0.0000	0.9766
inappropriate	191	0.0000	0.9766
flick	191	0.0000	0.9766
curry	191	0.0000	0.9766
classify	191	0.0000	0.9767
cereal	191	0.0000	0.9767
badge	191	0.0000	0.9767
vacancy	190	0.0000	0.9767
replicate	190	0.0000	0.9767
redundant	190	0.0000	0.9767
prejudice	190	0.0000	0.9767
linguistic	190	0.0000	0.9767
incidentally	190	0.0000	0.9767
hypothesis	190	0.0000	0.9767
follow-up	190	0.0000	0.9767
dioxide	190	0.0000	0.9767
thrill	189	0.0000	0.9767
skinny	189	0.0000	0.9767
projection	189	0.0000	0.9768
portfolio	189	0.0000	0.9768
lecturer	189	0.0000	0.9768
intense	189	0.0000	0.9768
elbow	189	0.0000	0.9768
dental	189	0.0000	0.9768
correlation	189	0.0000	0.9768
collective	189	0.0000	0.9768
chapel	189	0.0000	0.9768
casualty	189	0.0000	0.9768
bull	189	0.0000	0.9768
brigade	189	0.0000	0.9768
algebraic	189	0.0000	0.9768
spectrum	188	0.0000	0.9768
sew	188	0.0000	0.9768
mathematically	188	0.0000	0.9769
kilo	188	0.0000	0.9769
giant	188	0.0000	0.9769
envision	188	0.0000	0.9769
consumption	188	0.0000	0.9769
constitution	188	0.0000	0.9769
condemn	188	0.0000	0.9769
compliance	188	0.0000	0.9769
bundle	188	0.0000	0.9769
brass	188	0.0000	0.9769
accompany	188	0.0000	0.9769
valve	187	0.0000	0.9769
tan	187	0.0000	0.9769
suburb	187	0.0000	0.9769
rotten	187	0.0000	0.9769
intervene	187	0.0000	0.9770
grip	187	0.0000	0.9770
exclusion	187	0.0000	0.9770
dissertation	187	0.0000	0.9770
costume	187	0.0000	0.9770
contemporary	187	0.0000	0.9770
blonde	187	0.0000	0.9770
aggregate	187	0.0000	0.9770
unacceptable	186	0.0000	0.9770
refrigerator	186	0.0000	0.9770
outfit	186	0.0000	0.9770
mechanic	186	0.0000	0.9770
enthusiasm	186	0.0000	0.9770
disc	186	0.0000	0.9770
derive	186	0.0000	0.9770
calcium	186	0.0000	0.9771
backyard	186	0.0000	0.9771
tub	185	0.0000	0.9771
sunny	185	0.0000	0.9771
spaghetti	185	0.0000	0.9771
picnic	185	0.0000	0.9771
mow	185	0.0000	0.9771
motive	185	0.0000	0.9771
meanwhile	185	0.0000	0.9771
explode	185	0.0000	0.9771
bash	185	0.0000	0.9771
vessel	184	0.0000	0.9771
reminder	184	0.0000	0.9771
productivity	184	0.0000	0.9771
golden	184	0.0000	0.9771
donkey	184	0.0000	0.9772
diverse	184	0.0000	0.9772
dive	184	0.0000	0.9772
depot	184	0.0000	0.9772
undo	183	0.0000	0.9772
sexuality	183	0.0000	0.9772
portray	183	0.0000	0.9772
passport	183	0.0000	0.9772
ninety-nine	183	0.0000	0.9772
intervention	183	0.0000	0.9772
ideally	183	0.0000	0.9772
feasible	183	0.0000	0.9772
earring	183	0.0000	0.9772
dedicate	183	0.0000	0.9772
correspondence	183	0.0000	0.9772
authorize	183	0.0000	0.9773
ace	183	0.0000	0.9773
unknown	182	0.0000	0.9773
timber	182	0.0000	0.9773
thou	182	0.0000	0.9773
tale	182	0.0000	0.9773
silent	182	0.0000	0.9773
poison	182	0.0000	0.9773
pale	182	0.0000	0.9773
organic	182	0.0000	0.9773
hut	182	0.0000	0.9773
frequency	182	0.0000	0.9773
flame	182	0.0000	0.9773
enthusiastic	182	0.0000	0.9773
deterrent	182	0.0000	0.9773
buzz	182	0.0000	0.9773
wallet	181	0.0000	0.9774
underline	181	0.0000	0.9774
squad	181	0.0000	0.9774
species	181	0.0000	0.9774
scout	181	0.0000	0.9774
lettuce	181	0.0000	0.9774
initiate	181	0.0000	0.9774
hockey	181	0.0000	0.9774
designate	181	0.0000	0.9774
constitutional	181	0.0000	0.9774
accurately	181	0.0000	0.9774
worried	180	0.0000	0.9774
weld	180	0.0000	0.9774
slim	180	0.0000	0.9774
sixty-five	180	0.0000	0.9774
prophet	180	0.0000	0.9775
happily	180	0.0000	0.9775
explicitly	180	0.0000	0.9775
coloured	180	0.0000	0.9775
aerobics	180	0.0000	0.9775
vitamin	179	0.0000	0.9775
talent	179	0.0000	0.9775
shooting	179	0.0000	0.9775
s.	179	0.0000	0.9775
riot	179	0.0000	0.9775
loop	179	0.0000	0.9775
lonely	179	0.0000	0.9775
killer	179	0.0000	0.9775
jealous	179	0.0000	0.9775
integration	179	0.0000	0.9775
instructor	179	0.0000	0.9775
inspect	179	0.0000	0.9776
honour	179	0.0000	0.9776
fundraiser	179	0.0000	0.9776
fucking	179	0.0000	0.9776
destruction	179	0.0000	0.9776
cruel	179	0.0000	0.9776
corpus	179	0.0000	0.9776
convict	179	0.0000	0.9776
conservation	179	0.0000	0.9776
cabin	179	0.0000	0.9776
c-	179	0.0000	0.9776
walking	178	0.0000	0.9776
voter	178	0.0000	0.9776
transcript	178	0.0000	0.9776
stiff	178	0.0000	0.9776
seller	178	0.0000	0.9777
reproductive	178	0.0000	0.9777
polite	178	0.0000	0.9777
photographer	178	0.0000	0.9777
mutual	178	0.0000	0.9777
mkay	178	0.0000	0.9777
mislead	178	0.0000	0.9777
makeup	178	0.0000	0.9777
jelly	178	0.0000	0.9777
foreman	178	0.0000	0.9777
execute	178	0.0000	0.9777
en	178	0.0000	0.9777
continent	178	0.0000	0.9777
activist	178	0.0000	0.9777
tuck	177	0.0000	0.9777
stimulate	177	0.0000	0.9777
pa	177	0.0000	0.9778
lace	177	0.0000	0.9778
kindergarten	177	0.0000	0.9778
holy	177	0.0000	0.9778
graphics	177	0.0000	0.9778
deliberate	177	0.0000	0.9778
decoration	177	0.0000	0.9778
consciousness	177	0.0000	0.9778
choo	177	0.0000	0.9778
cardboard	177	0.0000	0.9778
bun	177	0.0000	0.9778
bare	177	0.0000	0.9778
apprentice	177	0.0000	0.9778
appraisal	177	0.0000	0.9778
worm	176	0.0000	0.9778
umbrella	176	0.0000	0.9778
slipper	176	0.0000	0.9779
shuffle	176	0.0000	0.9779
running	176	0.0000	0.9779
rob	176	0.0000	0.9779
mechanical	176	0.0000	0.9779
invade	176	0.0000	0.9779
hop	176	0.0000	0.9779
donate	176	0.0000	0.9779
continually	176	0.0000	0.9779
challenging	176	0.0000	0.9779
cassette	176	0.0000	0.9779
banking	176	0.0000	0.9779
ache	176	0.0000	0.9779
velocity	175	0.0000	0.9779
slash	175	0.0000	0.9779
similarly	175	0.0000	0.9779
patience	175	0.0000	0.9780
gardening	175	0.0000	0.9780
forwards	175	0.0000	0.9780
fiscal	175	0.0000	0.9780
echo	175	0.0000	0.9780
dessert	175	0.0000	0.9780
commentary	175	0.0000	0.9780
child_talking	175	0.0000	0.9780
winch	174	0.0000	0.9780
photography	174	0.0000	0.9780
owt	174	0.0000	0.9780
metric	174	0.0000	0.9780
linguistics	174	0.0000	0.9780
gesture	174	0.0000	0.9780
fantasy	174	0.0000	0.9780
dice	174	0.0000	0.9780
chlorine	174	0.0000	0.9781
alliance	174	0.0000	0.9781
violate	173	0.0000	0.9781
usage	173	0.0000	0.9781
triple	173	0.0000	0.9781
rocket	173	0.0000	0.9781
online	173	0.0000	0.9781
make-up	173	0.0000	0.9781
interval	173	0.0000	0.9781
frustration	173	0.0000	0.9781
cooperative	173	0.0000	0.9781
cease	173	0.0000	0.9781
carriage	173	0.0000	0.9781
ay	173	0.0000	0.9781
apparent	173	0.0000	0.9781
accumulate	173	0.0000	0.9781
waist	172	0.0000	0.9782
thread	172	0.0000	0.9782
spouse	172	0.0000	0.9782
rifle	172	0.0000	0.9782
researcher	172	0.0000	0.9782
recruitment	172	0.0000	0.9782
outdoor	172	0.0000	0.9782
minimal	172	0.0000	0.9782
marker	172	0.0000	0.9782
legally	172	0.0000	0.9782
ju	172	0.0000	0.9782
identification	172	0.0000	0.9782
grasp	172	0.0000	0.9782
genuinely	172	0.0000	0.9782
convenience	172	0.0000	0.9782
cite	172	0.0000	0.9782
sneak	171	0.0000	0.9783
shore	171	0.0000	0.9783
regulator	171	0.0000	0.9783
nod	171	0.0000	0.9783
navy	171	0.0000	0.9783
embargo	171	0.0000	0.9783
dictate	171	0.0000	0.9783
beneficial	171	0.0000	0.9783
understandable	170	0.0000	0.9783
sleeping	170	0.0000	0.9783
rotation	170	0.0000	0.9783
offensive	170	0.0000	0.9783
litter	170	0.0000	0.9783
likelihood	170	0.0000	0.9783
grain	170	0.0000	0.9783
closing	170	0.0000	0.9783
belch	170	0.0000	0.9783
automobile	170	0.0000	0.9784
ankle	170	0.0000	0.9784
airplane	170	0.0000	0.9784
accountable	170	0.0000	0.9784
workforce	169	0.0000	0.9784
upside	169	0.0000	0.9784
thirteenth	169	0.0000	0.9784
neglect	169	0.0000	0.9784
mince	169	0.0000	0.9784
midwife	169	0.0000	0.9784
id	169	0.0000	0.9784
filing	169	0.0000	0.9784
dryer	169	0.0000	0.9784
deer	169	0.0000	0.9784
deaf	169	0.0000	0.9784
continued	169	0.0000	0.9784
affirmative	169	0.0000	0.9785
acceptance	169	0.0000	0.9785
utilize	168	0.0000	0.9785
suspicious	168	0.0000	0.9785
playground	168	0.0000	0.9785
pavement	168	0.0000	0.9785
outlet	168	0.0000	0.9785
loaf	168	0.0000	0.9785
keeper	168	0.0000	0.9785
functional	168	0.0000	0.9785
fog	168	0.0000	0.9785
exploit	168	0.0000	0.9785
computational	168	0.0000	0.9785
compliment	168	0.0000	0.9785
competitor	168	0.0000	0.9785
buddy	168	0.0000	0.9785
bent	168	0.0000	0.9785
tighten	167	0.0000	0.9786
tide	167	0.0000	0.9786
substantially	167	0.0000	0.9786
subsequently	167	0.0000	0.9786
smoker	167	0.0000	0.9786
sine	167	0.0000	0.9786
si	167	0.0000	0.9786
mo	167	0.0000	0.9786
